pat_no,pat_clm_ct,pat_wrd_ct,pat_wrd_min,pat_dep_clm_ct,pat_dep_wrd_ct,pat_dep_wrd_min,pat_wrd_avg,pat_dep_wrd_avg,appl_id
3933143,1,76,76.0,7,237,20.0,76.0,33.85714,
3933144,1,308,308.0,0,0,,308.0,,
3933146,2,502,196.0,6,336,36.0,251.0,56.0,
3933152,2,289,143.0,10,417,19.0,144.5,41.7,
3933156,2,494,156.0,1,65,65.0,247.0,65.0,
3933160,1,104,104.0,2,60,24.0,104.0,30.0,
3933164,1,165,165.0,0,0,,165.0,,
3933165,2,602,274.0,3,98,28.0,301.0,32.66667,
3933166,1,522,522.0,0,0,,522.0,,
3933168,1,398,398.0,0,0,,398.0,,
3933172,1,135,135.0,9,327,12.0,135.0,36.33333,5552559.0
3933181,2,284,118.0,30,819,13.0,142.0,27.3,
3933182,1,111,111.0,6,124,14.0,111.0,20.66667,
3933183,2,208,78.0,6,263,17.0,104.0,43.83333,
3933184,2,283,133.0,3,350,38.0,141.5,116.6667,
3933186,1,293,293.0,0,0,,293.0,,
3933193,12,2440,125.0,13,788,32.0,203.3333,60.61538,
3933194,3,806,258.0,5,284,31.0,268.6667,56.8,
3933198,3,515,142.0,8,292,33.0,171.6667,36.5,
3933200,2,374,170.0,5,222,17.0,187.0,44.4,
3933201,1,287,287.0,3,72,13.0,287.0,24.0,
3933204,1,97,97.0,7,311,15.0,97.0,44.42857,
3933205,20,1023,9.0,30,711,10.0,51.15,23.7,
3933206,1,219,219.0,9,369,18.0,219.0,41.0,5501602.0
3933210,2,489,234.0,3,126,28.0,244.5,42.0,
3933211,2,118,49.0,8,298,20.0,59.0,37.25,
3933213,4,807,147.0,13,404,13.0,201.75,31.07692,5460024.0
3933215,3,603,154.0,16,804,17.0,201.0,50.25,
3933218,4,1404,344.0,4,138,14.0,351.0,34.5,
3933225,3,572,153.0,6,117,13.0,190.6667,19.5,
3933229,1,209,209.0,14,965,28.0,209.0,68.92857,
3933230,1,202,202.0,1,29,29.0,202.0,29.0,
3933231,1,208,208.0,12,578,21.0,208.0,48.16667,
3933232,2,553,151.0,14,926,15.0,276.5,66.14286,
3933233,2,534,224.0,3,246,37.0,267.0,82.0,
3933236,1,268,268.0,3,119,30.0,268.0,39.66667,
3933237,1,282,282.0,5,249,25.0,282.0,49.8,
3933238,3,346,93.0,4,106,19.0,115.3333,26.5,
3933239,1,493,493.0,3,463,41.0,493.0,154.3333,
3933240,3,291,81.0,13,480,21.0,97.0,36.92308,5514490.0
3933242,1,122,122.0,3,61,15.0,122.0,20.33333,
3933244,5,491,74.0,21,506,13.0,98.2,24.09524,
3933245,1,217,217.0,6,398,42.0,217.0,66.33334,5377557.0
3933246,1,176,176.0,4,123,28.0,176.0,30.75,
3933247,3,686,147.0,15,678,18.0,228.6667,45.2,
3933248,1,362,362.0,0,0,,362.0,,
3933249,1,137,137.0,10,340,27.0,137.0,34.0,
3933254,7,3193,400.0,13,579,16.0,456.1429,44.53846,
3933255,2,596,279.0,2,125,23.0,298.0,62.5,
3933258,5,965,152.0,8,288,15.0,193.0,36.0,
3933260,4,670,112.0,26,1373,20.0,167.5,52.80769,
3933261,1,220,220.0,6,204,14.0,220.0,34.0,
3933263,1,223,223.0,5,149,12.0,223.0,29.8,
3933264,1,381,381.0,4,200,26.0,381.0,50.0,
3933265,1,349,349.0,7,202,20.0,349.0,28.85714,5290418.0
3933266,1,111,111.0,0,0,,111.0,,
3933267,1,145,145.0,3,114,22.0,145.0,38.0,
3933268,1,167,167.0,5,155,29.0,167.0,31.0,5432558.0
3933269,2,332,111.0,5,370,52.0,166.0,74.0,
3933270,1,55,55.0,9,239,17.0,55.0,26.55556,
3933271,2,382,178.0,7,152,14.0,191.0,21.71428,5442439.0
3933272,3,612,164.0,14,536,19.0,204.0,38.28571,
3933274,1,264,264.0,5,88,15.0,264.0,17.6,
3933275,1,131,131.0,5,303,20.0,131.0,60.6,
3933276,3,918,267.0,24,1006,18.0,306.0,41.91667,
3933278,2,260,128.0,3,106,34.0,130.0,35.33333,
3933279,1,376,376.0,2,182,59.0,376.0,91.0,
3933281,1,176,176.0,4,146,19.0,176.0,36.5,
3933283,3,1023,240.0,15,757,13.0,341.0,50.46667,
3933284,1,249,249.0,1,47,47.0,249.0,47.0,
3933285,3,574,137.0,4,252,53.0,191.3333,63.0,5421504.0
3933286,1,129,129.0,0,0,,129.0,,
3933289,1,138,138.0,7,442,34.0,138.0,63.14286,
3933291,1,199,199.0,8,338,29.0,199.0,42.25,5464748.0
3933292,2,326,155.0,11,603,13.0,163.0,54.81818,
3933295,2,243,121.0,8,232,16.0,121.5,29.0,
3933296,1,251,251.0,5,248,24.0,251.0,49.6,
3933297,1,177,177.0,3,95,21.0,177.0,31.66667,
3933298,2,548,269.0,1,65,65.0,274.0,65.0,
3933299,1,306,306.0,2,115,22.0,306.0,57.5,
3933302,1,256,256.0,9,395,21.0,256.0,43.88889,
3933303,2,588,264.0,15,652,21.0,294.0,43.46667,5512460.0
3933304,1,154,154.0,0,0,,154.0,,
3933308,2,162,69.0,8,471,31.0,81.0,58.875,
3933309,7,855,78.0,23,1058,16.0,122.1429,46.0,
3933310,2,158,58.0,8,278,19.0,79.0,34.75,
3933315,1,122,122.0,5,191,19.0,122.0,38.2,
3933316,4,979,191.0,15,709,24.0,244.75,47.26667,
3933319,2,713,339.0,4,106,17.0,356.5,26.5,
3933320,2,364,166.0,16,957,19.0,182.0,59.8125,
3933321,1,245,245.0,3,124,29.0,245.0,41.33333,
3933324,1,189,189.0,6,248,32.0,189.0,41.33333,
3933328,3,1145,363.0,4,164,30.0,381.6667,41.0,
3933331,2,616,247.0,0,0,,308.0,,
3933333,1,260,260.0,4,243,35.0,260.0,60.75,
3933337,1,522,522.0,13,678,22.0,522.0,52.15385,
3933340,4,638,130.0,4,288,32.0,159.5,72.0,
3933346,3,943,264.0,6,192,18.0,314.3333,32.0,
3933349,3,1129,318.0,3,242,51.0,376.3333,80.66666,
3933350,1,335,335.0,4,267,50.0,335.0,66.75,
3933353,1,269,269.0,2,55,17.0,269.0,27.5,
3933361,1,125,125.0,1,28,28.0,125.0,28.0,
3933362,1,246,246.0,4,144,29.0,246.0,36.0,
3933363,2,550,261.0,8,355,22.0,275.0,44.375,
3933365,1,107,107.0,1,28,28.0,107.0,28.0,
3933366,4,1070,243.0,4,118,24.0,267.5,29.5,
3933369,1,412,412.0,4,116,24.0,412.0,29.0,
3933370,1,179,179.0,0,0,,179.0,,
3933374,1,219,219.0,5,146,23.0,219.0,29.2,5528786.0
3933375,1,337,337.0,1,82,82.0,337.0,82.0,
3933378,1,257,257.0,0,0,,257.0,,
3933381,2,290,138.0,6,374,29.0,145.0,62.33333,
3933382,2,340,137.0,13,426,18.0,170.0,32.76923,
3933384,1,293,293.0,2,130,39.0,293.0,65.0,
3933386,4,1040,256.0,0,0,,260.0,,
3933387,4,803,155.0,0,0,,200.75,,
3933388,3,631,177.0,6,244,23.0,210.3333,40.66667,
3933392,6,1288,118.0,10,556,17.0,214.6667,55.6,5550281.0
3933394,1,93,93.0,10,185,11.0,93.0,18.5,
3933396,1,129,129.0,2,46,17.0,129.0,23.0,
3933399,2,460,217.0,5,263,39.0,230.0,52.6,
3933403,1,529,529.0,15,529,17.0,529.0,35.26667,
3933406,2,623,279.0,4,329,63.0,311.5,82.25,
3933407,2,221,20.0,12,206,11.0,110.5,17.16667,
3933412,5,1677,274.0,23,1023,16.0,335.4,44.47826,
3933414,1,955,955.0,2,146,69.0,955.0,73.0,
3933415,1,226,226.0,13,813,21.0,226.0,62.53846,5359340.0
3933416,13,1664,90.0,0,0,,128.0,,2591240.0
3933417,1,178,178.0,5,120,18.0,178.0,24.0,
3933418,1,168,168.0,2,80,19.0,168.0,40.0,
3933419,1,239,239.0,8,528,25.0,239.0,66.0,
3933424,1,116,116.0,11,196,12.0,116.0,17.81818,
3933425,1,385,385.0,10,432,21.0,385.0,43.2,
3933429,3,605,185.0,22,530,17.0,201.6667,24.09091,
3933434,1,328,328.0,17,478,13.0,328.0,28.11765,5271560.0
3933437,1,311,311.0,6,245,24.0,311.0,40.83333,
3933439,5,480,68.0,5,184,28.0,96.0,36.8,
3933440,1,105,105.0,4,92,14.0,105.0,23.0,
3933447,1,109,109.0,11,317,16.0,109.0,28.81818,
3933449,3,677,219.0,5,214,32.0,225.6667,42.8,
3933451,1,201,201.0,0,0,,201.0,,
3933473,1,243,243.0,9,227,9.0,243.0,25.22222,5408237.0
3933475,1,75,75.0,10,344,19.0,75.0,34.4,
3933477,1,144,144.0,7,197,14.0,144.0,28.14286,
3933478,4,914,166.0,8,249,16.0,228.5,31.125,
3933489,1,299,299.0,8,356,13.0,299.0,44.5,5444296.0
3933496,1,158,158.0,5,242,27.0,158.0,48.4,
3933520,2,139,67.0,14,664,10.0,69.5,47.42857,
3933522,3,414,114.0,24,1095,18.0,138.0,45.625,
3933524,2,89,40.0,0,0,,44.5,,
3933525,3,187,24.0,0,0,,62.33333,,5537052.0
3933526,2,249,104.0,4,193,38.0,124.5,48.25,
3933528,4,1156,224.0,6,266,20.0,289.0,44.33333,
3933529,1,318,318.0,5,343,23.0,318.0,68.6,
3933535,2,526,259.0,2,68,34.0,263.0,34.0,
3933536,1,61,61.0,4,73,13.0,61.0,18.25,
3933537,8,482,1.0,0,0,,60.25,,5418671.0
3933547,3,337,85.0,5,107,12.0,112.3333,21.4,
3933550,7,961,103.0,28,764,13.0,137.2857,27.28572,
3933555,1,221,221.0,9,306,17.0,221.0,34.0,
3933556,1,218,218.0,6,218,14.0,218.0,36.33333,5432274.0
3933559,1,100,100.0,14,356,17.0,100.0,25.42857,
3933561,2,268,126.0,8,336,24.0,134.0,42.0,
3933562,3,554,159.0,32,1057,20.0,184.6667,33.03125,
3933564,2,391,171.0,4,224,30.0,195.5,56.0,
3933565,1,93,93.0,12,659,17.0,93.0,54.91667,
3933567,1,206,206.0,10,248,11.0,206.0,24.8,
3933570,2,304,150.0,25,2322,23.0,152.0,92.88,
3933574,3,552,151.0,2,52,25.0,184.0,26.0,
3933576,6,1480,182.0,7,277,20.0,246.6667,39.57143,5361208.0
3933577,6,886,111.0,29,951,11.0,147.6667,32.7931,
3933578,1,101,101.0,5,177,19.0,101.0,35.4,
3933579,3,396,88.0,25,620,12.0,132.0,24.8,
3933591,1,96,96.0,7,140,13.0,96.0,20.0,
3933594,2,245,102.0,8,154,11.0,122.5,19.25,
3933595,2,190,80.0,6,306,20.0,95.0,51.0,
3933599,1,39,39.0,7,130,15.0,39.0,18.57143,
3933604,2,270,118.0,8,186,17.0,135.0,23.25,
3933605,2,102,39.0,6,140,20.0,51.0,23.33333,
3933612,1,224,224.0,12,395,16.0,224.0,32.91667,
3933614,1,304,304.0,3,93,25.0,304.0,31.0,
3933617,1,114,114.0,6,253,27.0,114.0,42.16667,5436678.0
3933624,1,168,168.0,14,421,15.0,168.0,30.07143,
3933625,1,217,217.0,7,282,27.0,217.0,40.28571,
3933628,2,263,126.0,9,357,21.0,131.5,39.66667,
3933634,2,509,231.0,4,136,17.0,254.5,34.0,
3933639,1,320,320.0,9,455,26.0,320.0,50.55556,
3933640,2,497,247.0,11,541,28.0,248.5,49.18182,
3933641,1,244,244.0,5,203,32.0,244.0,40.6,
3933644,3,844,255.0,5,274,38.0,281.3333,54.8,5363449.0
3933646,1,388,388.0,3,140,24.0,388.0,46.66667,5468545.0
3933647,1,310,310.0,11,261,14.0,310.0,23.72727,5480192.0
3933648,1,122,122.0,3,92,28.0,122.0,30.66667,
3933651,3,196,2.0,0,0,,65.33334,,
3933670,2,398,114.0,15,1170,23.0,199.0,78.0,
3933677,1,102,102.0,6,161,18.0,102.0,26.83333,
3933678,2,400,194.0,6,219,24.0,200.0,36.5,
3933723,1,107,107.0,1,15,15.0,107.0,15.0,
3933724,2,314,151.0,12,319,16.0,157.0,26.58333,
3933747,1,154,154.0,3,42,12.0,154.0,14.0,
3933759,7,1326,169.0,23,538,11.0,189.4286,23.3913,
3933764,1,262,262.0,14,243,10.0,262.0,17.35714,
3933777,1,423,423.0,1,29,29.0,423.0,29.0,
3933781,4,130,2.0,10,181,12.0,32.5,18.1,5412928.0
3933783,1,111,111.0,10,386,16.0,111.0,38.6,
3933792,1,269,269.0,4,206,29.0,269.0,51.5,
3933801,1,147,147.0,3,80,19.0,147.0,26.66667,
3933802,1,130,130.0,15,235,8.0,130.0,15.66667,
3933818,1,47,47.0,4,173,22.0,47.0,43.25,
3933827,1,50,50.0,12,121,9.0,50.0,10.08333,
3933850,1,71,71.0,2,71,15.0,71.0,35.5,
3933866,1,115,115.0,4,146,12.0,115.0,36.5,
3933872,2,145,62.0,5,119,19.0,72.5,23.8,
3933916,1,201,201.0,4,81,12.0,201.0,20.25,
3933923,1,339,339.0,8,256,15.0,339.0,32.0,
3933932,1,97,97.0,6,153,13.0,97.0,25.5,5474126.0
3933937,1,100,100.0,4,131,13.0,100.0,32.75,
3933938,1,120,120.0,4,142,13.0,120.0,35.5,
3933940,5,403,56.0,9,214,11.0,80.6,23.77778,
3933943,2,219,102.0,2,44,21.0,109.5,22.0,
3933947,1,35,35.0,5,88,15.0,35.0,17.6,
3933949,4,1078,235.0,5,250,27.0,269.5,50.0,
3933950,3,768,216.0,0,0,,256.0,,
3933952,1,282,282.0,12,527,29.0,282.0,43.91667,
3933954,2,635,268.0,21,521,13.0,317.5,24.80952,
3933961,2,268,128.0,5,126,16.0,134.0,25.2,5532438.0
3933971,1,172,172.0,9,218,14.0,172.0,24.22222,
3933972,1,65,65.0,9,277,15.0,65.0,30.77778,
3933973,3,476,140.0,8,244,20.0,158.6667,30.5,
3933975,2,617,301.0,2,119,59.0,308.5,59.5,
3933977,2,655,304.0,5,159,22.0,327.5,31.8,
3933983,2,272,108.0,13,387,18.0,136.0,29.76923,5415861.0
3933987,1,171,171.0,6,146,14.0,171.0,24.33333,5072941.0
3933988,1,165,165.0,7,192,13.0,165.0,27.42857,
3933989,1,166,166.0,5,126,15.0,166.0,25.2,
3933997,2,128,43.0,5,134,19.0,64.0,26.8,5447251.0
3934017,2,601,297.0,6,1016,115.0,300.5,169.3333,
3934048,1,133,133.0,8,146,9.0,133.0,18.25,5417855.0
3934051,2,166,68.0,5,104,12.0,83.0,20.8,
3934054,1,193,193.0,14,469,11.0,193.0,33.5,
3934055,1,154,154.0,8,342,27.0,154.0,42.75,
3934057,3,221,53.0,14,466,12.0,73.66666,33.28571,
3934058,1,110,110.0,2,105,51.0,110.0,52.5,
3934059,1,66,66.0,5,254,19.0,66.0,50.8,
3934060,1,217,217.0,5,132,19.0,217.0,26.4,5426395.0
3934062,1,285,285.0,2,57,13.0,285.0,28.5,
3934063,2,370,169.0,12,260,12.0,185.0,21.66667,
3934065,3,332,82.0,4,96,15.0,110.6667,24.0,
3934072,2,389,180.0,3,150,24.0,194.5,50.0,
3934077,2,196,57.0,9,303,15.0,98.0,33.66667,
3934079,2,378,153.0,27,1493,22.0,189.0,55.2963,5409820.0
3934080,1,153,153.0,23,1106,15.0,153.0,48.08696,
3934084,1,166,166.0,3,111,28.0,166.0,37.0,
3934085,1,199,199.0,10,568,33.0,199.0,56.8,
3934088,1,310,310.0,1,136,136.0,310.0,136.0,
3934089,5,1452,33.0,19,936,18.0,290.4,49.26316,
3934090,5,551,86.0,5,205,24.0,110.2,41.0,
3934095,4,852,185.0,13,581,16.0,213.0,44.69231,5483061.0
3934096,1,212,212.0,5,414,44.0,212.0,82.8,
3934098,3,586,140.0,6,179,16.0,195.3333,29.83333,
3934103,7,1822,216.0,2,49,19.0,260.2857,24.5,
3934105,2,336,150.0,1,28,28.0,168.0,28.0,5540784.0
3934106,1,48,48.0,2,73,32.0,48.0,36.5,
3934107,1,123,123.0,4,117,12.0,123.0,29.25,
3934112,1,529,529.0,20,997,18.0,529.0,49.85,
3934116,1,164,164.0,3,96,23.0,164.0,32.0,
3934118,1,178,178.0,0,0,,178.0,,
3934121,2,491,241.0,5,433,26.0,245.5,86.6,
3934127,4,1074,214.0,30,1654,25.0,268.5,55.13334,
3934140,1,245,245.0,4,338,59.0,245.0,84.5,
3934143,1,230,230.0,4,130,17.0,230.0,32.5,
3934145,3,280,78.0,10,317,20.0,93.33334,31.7,5409647.0
3934150,1,121,121.0,3,137,34.0,121.0,45.66667,
3934151,1,137,137.0,1,34,34.0,137.0,34.0,
3934152,1,145,145.0,14,1027,39.0,145.0,73.35714,
3934155,1,102,102.0,1,30,30.0,102.0,30.0,
3934160,1,171,171.0,3,142,37.0,171.0,47.33333,
3934162,1,106,106.0,26,502,14.0,106.0,19.30769,
3934163,2,207,89.0,8,273,21.0,103.5,34.125,
3934164,2,122,50.0,18,414,17.0,61.0,23.0,
3934168,1,148,148.0,8,185,18.0,148.0,23.125,
3934174,1,211,211.0,1,133,133.0,211.0,133.0,
3934177,2,387,192.0,10,389,30.0,193.5,38.9,
3934183,8,2358,172.0,12,493,16.0,294.75,41.08333,
3934186,2,450,218.0,4,153,16.0,225.0,38.25,
3934187,1,277,277.0,5,228,22.0,277.0,45.6,
3934188,2,619,282.0,17,790,16.0,309.5,46.47059,
3934191,2,364,133.0,9,373,16.0,182.0,41.44444,
3934192,5,923,142.0,27,920,15.0,184.6,34.07407,
3934193,3,335,92.0,10,471,19.0,111.6667,47.1,5425116.0
3934194,2,397,187.0,6,325,38.0,198.5,54.16667,
3934195,1,368,368.0,0,0,,368.0,,
3934196,2,346,149.0,2,64,27.0,173.0,32.0,
3934199,3,476,152.0,1,39,39.0,158.6667,39.0,
3934214,1,110,110.0,2,56,17.0,110.0,28.0,5563723.0
3934215,1,110,110.0,5,283,37.0,110.0,56.6,
3934216,1,241,241.0,2,74,31.0,241.0,37.0,
3934218,3,552,163.0,0,0,,184.0,,
3934219,2,188,90.0,13,567,13.0,94.0,43.61538,
3934224,5,799,135.0,10,396,24.0,159.8,39.6,5518538.0
3934225,1,843,843.0,9,693,37.0,843.0,77.0,
3934226,1,425,425.0,11,438,24.0,425.0,39.81818,5418660.0
3934228,12,2997,159.0,7,537,18.0,249.75,76.71429,
3934230,2,564,235.0,6,577,31.0,282.0,96.16666,
3934231,2,1109,525.0,8,1433,107.0,554.5,179.125,
3934233,3,526,153.0,9,525,33.0,175.3333,58.33333,5400471.0
3934235,1,93,93.0,6,251,15.0,93.0,41.83333,
3934236,8,646,40.0,7,183,11.0,80.75,26.14286,
3934238,4,2102,463.0,9,566,31.0,525.5,62.88889,
3934240,3,884,238.0,1,58,58.0,294.6667,58.0,
3934249,1,116,116.0,5,301,47.0,116.0,60.2,5450737.0
3934253,3,514,141.0,6,309,31.0,171.3333,51.5,
3934254,4,994,121.0,11,875,19.0,248.5,79.54546,
3934261,1,269,269.0,6,267,15.0,269.0,44.5,
3934267,1,766,766.0,14,2538,68.0,766.0,181.2857,
3934268,2,779,389.0,0,0,,389.5,,
3934269,4,1541,297.0,7,644,53.0,385.25,92.0,
3934271,1,86,86.0,7,133,12.0,86.0,19.0,
3934274,2,373,181.0,7,158,11.0,186.5,22.57143,5518399.0
3934275,1,166,166.0,3,68,13.0,166.0,22.66667,5449534.0
3934276,3,1092,341.0,4,393,26.0,364.0,98.25,
3934279,1,319,319.0,8,480,49.0,319.0,60.0,
3934286,2,286,116.0,4,138,15.0,143.0,34.5,
3934287,3,518,162.0,22,920,21.0,172.6667,41.81818,
3934290,2,227,76.0,15,1019,35.0,113.5,67.93333,
3934294,3,858,179.0,3,386,59.0,286.0,128.6667,
3934295,5,634,84.0,23,622,12.0,126.8,27.04348,
3934301,2,241,114.0,7,260,14.0,120.5,37.14286,
3934302,2,530,248.0,4,93,13.0,265.0,23.25,
3934303,2,725,329.0,2,168,83.0,362.5,84.0,
3934304,1,334,334.0,3,93,26.0,334.0,31.0,
3934308,2,387,176.0,8,186,11.0,193.5,23.25,5500311.0
3934310,6,177,2.0,0,0,,29.5,,
3934313,1,273,273.0,1,63,63.0,273.0,63.0,
3934320,1,247,247.0,8,449,25.0,247.0,56.125,
3934323,2,363,172.0,8,412,27.0,181.5,51.5,
3934326,6,558,64.0,18,518,13.0,93.0,28.77778,
3934328,1,70,70.0,8,281,18.0,70.0,35.125,
3934332,2,468,206.0,8,256,14.0,234.0,32.0,
3934334,3,319,61.0,8,356,15.0,106.3333,44.5,
3934337,1,209,209.0,1,13,13.0,209.0,13.0,
3934340,3,384,94.0,15,472,13.0,128.0,31.46667,
3934345,2,1445,544.0,6,477,63.0,722.5,79.5,
3934346,2,90,42.0,1,15,15.0,45.0,15.0,
3934348,1,92,92.0,5,231,27.0,92.0,46.2,5537967.0
3934351,4,737,140.0,0,0,,184.25,,
3934354,3,355,113.0,10,190,12.0,118.3333,19.0,
3934356,1,151,151.0,17,303,11.0,151.0,17.82353,
3934359,1,138,138.0,6,109,12.0,138.0,18.16667,
3934360,4,1370,311.0,9,446,23.0,342.5,49.55556,
3934362,5,1779,304.0,18,1043,23.0,355.8,57.94444,
3934365,3,140,0.0,11,268,12.0,46.66667,24.36364,5479813.0
3934366,1,201,201.0,10,210,12.0,201.0,21.0,
3934371,1,183,183.0,6,388,26.0,183.0,64.66666,
3934373,3,304,83.0,10,234,12.0,101.3333,23.4,
3934374,1,152,152.0,5,120,12.0,152.0,24.0,
3934375,1,242,242.0,11,533,13.0,242.0,48.45454,
3934377,4,1171,262.0,4,444,63.0,292.75,111.0,
3934378,1,152,152.0,7,406,26.0,152.0,58.0,
3934382,2,811,270.0,12,511,11.0,405.5,42.58333,
3934383,1,231,231.0,2,74,24.0,231.0,37.0,5488505.0
3934385,2,282,141.0,0,0,,141.0,,
3934386,1,143,143.0,4,107,13.0,143.0,26.75,
3934389,1,256,256.0,5,403,27.0,256.0,80.6,
3934391,1,140,140.0,6,111,11.0,140.0,18.5,
3934392,6,908,121.0,5,138,22.0,151.3333,27.6,5520753.0
3934393,1,297,297.0,5,602,47.0,297.0,120.4,5507822.0
3934394,10,1030,51.0,23,822,23.0,103.0,35.73913,
3934395,3,473,112.0,18,600,15.0,157.6667,33.33333,
3934399,1,361,361.0,8,491,18.0,361.0,61.375,
3934400,3,698,191.0,4,345,43.0,232.6667,86.25,
3934401,1,206,206.0,10,454,23.0,206.0,45.4,5560824.0
3934402,1,455,455.0,0,0,,455.0,,
3934403,2,124,52.0,5,179,24.0,62.0,35.8,
3934412,1,194,194.0,13,533,21.0,194.0,41.0,
3934423,4,1052,142.0,5,254,31.0,263.0,50.8,
3934425,3,667,154.0,1,39,39.0,222.3333,39.0,
3934426,1,109,109.0,5,325,22.0,109.0,65.0,
3934427,4,1212,246.0,9,803,27.0,303.0,89.22222,5504525.0
3934430,1,309,309.0,0,0,,309.0,,
3934432,4,345,64.0,18,681,17.0,86.25,37.83333,
3934434,3,825,228.0,14,1635,31.0,275.0,116.7857,
3934435,6,1928,160.0,20,887,19.0,321.3333,44.35,
3934436,2,390,140.0,8,357,19.0,195.0,44.625,
3934437,2,404,196.0,10,448,17.0,202.0,44.8,
3934438,1,156,156.0,7,352,25.0,156.0,50.28571,
3934439,2,339,160.0,5,207,32.0,169.5,41.4,
3934441,2,336,152.0,15,550,15.0,168.0,36.66667,5486290.0
3934442,1,154,154.0,1,35,35.0,154.0,35.0,
3934444,2,240,103.0,3,80,21.0,120.0,26.66667,
3934445,3,583,50.0,26,1856,31.0,194.3333,71.38461,
3934446,14,2241,111.0,8,239,20.0,160.0714,29.875,
3934448,1,125,125.0,5,215,31.0,125.0,43.0,
3934454,2,810,315.0,5,289,33.0,405.0,57.8,
3934456,3,606,165.0,19,674,15.0,202.0,35.47368,
3934457,1,350,350.0,23,1072,18.0,350.0,46.6087,
3934461,4,694,123.0,5,230,21.0,173.5,46.0,
3934463,4,509,110.0,15,805,25.0,127.25,53.66667,
3934464,3,853,208.0,3,223,57.0,284.3333,74.33334,
3934467,6,2272,216.0,29,1894,19.0,378.6667,65.31035,
3934468,4,1677,300.0,14,581,23.0,419.25,41.5,
3934469,4,839,129.0,15,947,39.0,209.75,63.13334,5528073.0
3934471,3,997,155.0,3,228,54.0,332.3333,76.0,5437588.0
3934474,1,311,311.0,0,0,,311.0,,
3934475,3,420,114.0,7,295,19.0,140.0,42.14286,
3934477,2,191,91.0,3,57,13.0,95.5,19.0,
3934478,9,1567,86.0,3,78,22.0,174.1111,26.0,
3934484,1,179,179.0,8,366,22.0,179.0,45.75,
3934485,3,992,227.0,9,327,16.0,330.6667,36.33333,
3934489,4,598,134.0,0,0,,149.5,,
3934492,1,184,184.0,10,532,31.0,184.0,53.2,5558673.0
3934494,1,264,264.0,0,0,,264.0,,
3934495,1,304,304.0,7,382,28.0,304.0,54.57143,
3934496,6,944,143.0,8,344,21.0,157.3333,43.0,5517100.0
3934497,1,151,151.0,5,219,20.0,151.0,43.8,
3934499,3,911,223.0,10,475,30.0,303.6667,47.5,
3934500,1,196,196.0,13,1094,48.0,196.0,84.15385,
3934501,2,279,119.0,3,136,43.0,139.5,45.33333,5534748.0
3934502,8,2149,144.0,15,901,18.0,268.625,60.06667,
3934504,2,387,189.0,4,258,52.0,193.5,64.5,
3934506,1,303,303.0,13,594,23.0,303.0,45.69231,
3934507,1,179,179.0,6,348,31.0,179.0,58.0,
3934510,1,98,98.0,7,346,25.0,98.0,49.42857,
3934511,3,200,42.0,0,0,,66.66666,,
3934515,2,383,177.0,15,503,19.0,191.5,33.53333,5526916.0
3934516,4,593,96.0,9,563,25.0,148.25,62.55556,
3934517,1,151,151.0,10,374,21.0,151.0,37.4,
3934518,1,197,197.0,5,147,21.0,197.0,29.4,
3934521,1,184,184.0,38,1796,16.0,184.0,47.26316,
3934526,1,48,48.0,17,645,19.0,48.0,37.94118,
3934527,1,275,275.0,3,166,39.0,275.0,55.33333,
3934528,3,402,111.0,17,877,32.0,134.0,51.58823,5475800.0
3934529,2,260,118.0,3,133,20.0,130.0,44.33333,
3934530,1,314,314.0,4,148,21.0,314.0,37.0,
3934535,2,403,200.0,7,211,15.0,201.5,30.14286,
3934537,7,902,78.0,15,651,19.0,128.8571,43.4,
3934539,1,125,125.0,1,15,15.0,125.0,15.0,
3934540,1,19,19.0,9,244,16.0,19.0,27.11111,5324306.0
3934542,2,227,106.0,0,0,,113.5,,5450149.0
3934543,1,199,199.0,12,675,25.0,199.0,56.25,5535656.0
3934549,2,311,152.0,6,326,49.0,155.5,54.33333,
3934550,2,172,78.0,7,125,13.0,86.0,17.85714,
3934551,3,694,166.0,9,305,23.0,231.3333,33.88889,
3934552,1,180,180.0,4,109,17.0,180.0,27.25,
3934553,3,475,149.0,13,405,15.0,158.3333,31.15385,
3934555,2,452,196.0,2,81,39.0,226.0,40.5,
3934556,1,192,192.0,2,69,31.0,192.0,34.5,
3934561,1,338,338.0,6,199,13.0,338.0,33.16667,
3934562,1,200,200.0,17,525,17.0,200.0,30.88235,
3934563,2,300,127.0,16,682,18.0,150.0,42.625,
3934565,2,476,183.0,6,359,35.0,238.0,59.83333,
3934566,7,846,76.0,18,750,12.0,120.8571,41.66667,
3934570,2,382,142.0,6,222,24.0,191.0,37.0,
3934573,2,186,82.0,12,380,16.0,93.0,31.66667,
3934576,1,148,148.0,5,195,29.0,148.0,39.0,
3934583,4,517,68.0,6,282,25.0,129.25,47.0,5509821.0
3934585,5,595,75.0,9,411,25.0,119.0,45.66667,
3934587,4,452,100.0,6,185,21.0,113.0,30.83333,
3934590,1,265,265.0,2,80,25.0,265.0,40.0,
3934593,1,151,151.0,1,24,24.0,151.0,24.0,
3934596,4,396,77.0,32,758,11.0,99.0,23.6875,
3934598,1,288,288.0,16,653,27.0,288.0,40.8125,5487309.0
3934601,2,231,112.0,6,125,14.0,115.5,20.83333,
3934606,2,344,165.0,4,259,49.0,172.0,64.75,
